,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,Data Analyst,$70T - $85T (Employer Est.),"Company Overview
ClearChoice was founded in 2005 to bring an innovative and patient-focused approach to solve gaps within the dental industry. We’ve experienced strong growth and today, we’re the leader in dental implant treatments. Driven by a collective desire to improve the lives of our prospective patients, we help them reclaim their health and confidence. Beyond restoring teeth, this is about getting their lives back.
This mission-focused work has enabled us to achieve four straight years of double-digit company growth, yet we’ve only reached 1% of the population that needs our services. We are searching for individuals who can help us continue pursuing our goal of reaching prospective patients and transforming their lives. When you join ClearChoice, you are joining a team of individuals with passion, conviction, and integrity whose mission is to be the platform of hope for our patients. Come help us write the next chapter of our story!
Position Summary",3.5,"ClearChoice Dental Implant Centers
3.5","Greenwood Village, CO",Unknown,2004,Company - Private,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable
11,"Associate Engineer, Data Science",Easy Apply,"Company Description

We're Nagarro.

We are a digital product engineering company that is scaling in a big way! We build products, services, and experiences that inspire, excite, and delight. We work at scale — across all devices and digital mediums, and our people exist everywhere in the world (18,000+ experts across 33 countries, to be exact). Our work culture is dynamic and non-hierarchical. We're looking for great new colleagues. That's where you come in!

Job Description

You have begun to prove your worth in our industry! How has the experience been so far? We hope it has been rewarding. At Nagarro, we want to take the word “hope” out of that sentence. At Nagarro, if you are ready to take the next step, we are ready to take you to the next level. Want to work with the coolest tech, the brightest minds, and be able to solve the most challenging problems, then look no further.

Additional Information

Click here to access the application privacy notice",4.2,"Nagarro
4.2",Remote,10000+ Employees,1996,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
12,Data Scientist,$94T - $1L (Glassdoor Est.),"Data Scientist (Analytics Consultant)
Eastport Analytics has an immediate opportunity for a mid-level full time Data Scientist with strong SQL & Python experience. Our data subject matter experts, technologists, and domain/industry specialists work directly with financial investigators, auditors, and analysts to gain better insights out of existing structured/unstructured data and IT systems. These teams drive innovation that allows their clients to modernize their data strategy, understand and improve their data management, automate, and optimize their business and technological procedures, and build insights through modeling, reporting, and generalized data analytics. We measure success by our client’s mission accomplishments, be it higher compliance, improved asset recovery, or enhanced law/tax enforcement.
As a Data Scientist, you will be performing data manipulation, data analysis, and data wrangling/ETL. You will be using statistical software and other exploratory data analysis (EDA) tools/techniques to inform senior leadership decision-making. You will be responsible for building, maintaining, executing, and documenting SQL models to ensure data is managed efficiently and effectively for our client. This role includes developing and implementing databases and data collection systems, acquiring data from primary and secondary sources, maintaining data ingest processes and identifying/analyzing/interpreting trends or patterns in complex datasets.",4.3,"Eastport Analytics
4.3","Washington, DC",1 to 50 Employees,2002,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
13,Data Scientist,$82T - $1L (Glassdoor Est.),"Spalding Consulting, Inc. is seeking a Data Scientist at MCAS Cherry Point at Havelock, NC. Spalding Consulting, Inc. is a professional services company delivering cutting-edge solutions to the Department of Defense since 2001. Our expert-level solutions include software development, information technology, program management, financial management and business intelligence services. Spalding Consulting offers competitive compensation, career development, flexible work schedules and excellent benefits.

Position Type: Full-Time

Come join our team as we support Naval Aviation at Marine Corps Air Station Cherry Point. If you seek a dynamic work environment that challenges you to learn and grow in data analysis, visualization, AI and ML, we have the opportunity for you.

Essential Functions:




Must be eligible to obtain a Secret clearance. Requirements to obtain a clearance include US Citizenship, security investigation, etc.


BS or BA degree in Engineering, Computer Science, Information Systems, Business, Mathematics, Statistics or Relevant Technical Discipline. Preferred. Additional years of experience may replace degree requirements.

Spalding Consulting, Inc. is committed to providing equal employment opportunities to all applicants and employees. We will not discriminate against any employee or applicant on the basis of race, color, ethnic origin, national origin, creed, religion, political belief, sex (including pregnancy), sexual orientation, gender identity, marital status, age, military status, physical or mental disability, or any other legally protected basis, in accordance with applicable federal, state or local laws. Spalding Consulting, Inc. is an Affirmative Action/Equal Opportunity Employer and encourages minorities, women, disabled, and veterans to apply for job openings within our company.",4.0,"Spalding Consulting, Inc.
4.0","Havelock, NC",201 to 500 Employees,2001,Company - Private,Aerospace & Defence,Aerospace & Defence,$25 to $50 million (USD)
14,Data Scientist,$60.00 - $65.00 Per hour (Employer Est.),"Hi
Job title: Data Scientist
Location: Remote
Duration: Long term
Exp: 10+
Top Skills:
SQL, SAS, Python, STATA, Excel, QGIS, HIVE, HADOOP
Job Type: Contract",4.9,"Sunixa Solutions
4.9",Remote,51 to 200 Employees,2015,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
15,Entry-level Data Developer/ Trading Analyst,$75T - $85T (Employer Est.),"A global finance company is looking to hire for an Entry-level position in a hybrid Junior Data Developer and Operations Trading Support role to join their ""Data Trading Lab"" group. The ""Data Trading Lab"" is responsible for creating different data sets available for research, perform real time trading integrations and monitoring.
This is a great opportunity for a passionate technologist candidate who loves problem-solving in a production environment and enjoys using data science techniques to work with massive amounts of data.
Day-to-day you will be solving interesting problems using Python on a Unix platform, writing programs to ingest data sets from dozens of sources and doing deep analysis of data sets to identify errors/anomalies, improve data quality and usability. You will also work with extremely talented technical end users within the company. You will be responsible for monitoring existing data pipelines and working together with researchers to identify new sources of data and improve existing ones.
Our multi-petabyte data storage is managed across private and public cloud services, so you will have exposure to AWS and potentially other cloud providers. Candidate should be able to work in fast-paced multi-disciplinary environments and should have a strong desire to learn and remain current on a wide range of development technologies. We have offices and users in multiple locations across the US, Europe and Asia so strong communication skills are key.",4.7,"Quantbot Technologies LP
4.7","New York, NY",1 to 50 Employees,2009,Company - Private,Stock Exchanges,Finance,Unknown / Non-Applicable
16,Data Scientist,$1L (Employer Est.),"commercial success, making a real impact on patient healthcare.
Claritas Rx is a digital health venture that brings clarity to the challenges of
Claritas Rx is a digital health venture that brings clarity to the challenges of
Who We Are:
Claritas Rx is a digital health venture that brings clarity to the challenges of specialty biopharmaceutical products in the marketplace. In today’s highly complex specialty networks, our mission is to illuminate the patient experience beyond the clinical trial. Claritas Rx leverages a proprietary technology platform and deep manufacturer expertise to automate and integrate channel, commercial, and clinical data and help biopharmaceutical companies generate actionable business insights. Our work uncovers the real-world variables impacting patient access, duration of therapy, and other metrics key to commercial success, making a real impact on patient healthcare.
The Position:",4.9,"Claritas Rx Inc.
4.9","South San Francisco, CA",51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
17,Modeler/Data Scientist,$1L (Employer Est.),"METABIOTA is the pioneer in comprehensive risk analytics that help protect global health. Built on a strong foundation of scientific expertise, including a worldwide network of on-the-ground experts, Metabiota delivers actionable, data-driven analytics to help countries and corporations mitigate complex health issues. With a strategic global presence and sustained partnerships, Metabiota’s agile approach helps identify, analyze and transfer the risk associated with biological threats. For more information, visit http://www.metabiota.com.
ROLE
Metabiota is looking for an exceptional Modeler/Data Scientist. You will be a core member of the team responsible for evaluating and interpreting global infectious disease data with an eye towards developing models, creating statistical distributions of parameters, and performing model validation. Your core mission will be to build, manage, and scale infectious disease models within cloud computing environments. Your work will have direct public health and business implications.",3.8,"Metabiota
3.8","San Francisco, CA",51 to 200 Employees,2008,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
18,Data Engineer,$1L - $2L (Employer Est.),"At Carrum, we are passionate about transforming the healthcare system to create an unmatched experience for patients. If you want to thrive in an entrepreneurial, cutting-edge environment while participating in the end of surprise bills, poor quality, and high prices, we would love to connect with you.
Carrum Health has invented a unique Center of Excellence (CoE) model, which lowers healthcare costs while providing access to the highest quality surgeons. Carrum uses a plethora of private and public data sources to identify the best surgeons and surgical locations for effective, low-cost surgeries. We then form novel contracts based on fixed-cost procedure ""bundles"" rather than ""fee-for-service""-based itemized costs. These bundles greatly simplify billing and help to align economic incentives with patient outcomes for provider organizations.
Carrum has bundled over 80 procedures and demonstrated savings up to 45% on a per-procedure basis. We pass these savings along to patients by partnering with self-insured employers (covering 61% of all individuals with employer-backed healthcare) and providing our surgical bundles for their employee population. Our bundles are often free to employees and include a care expert to guide patients through every step of surgery via our unique digital health platform.",4.8,"Carrum Health
4.8",Remote,51 to 200 Employees,2014,Company - Private,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable
19,Data Scientist,$80T - $1L (Glassdoor Est.),"Responsibilities:
Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and machine learning techniques
Conduct intermediate and advanced statistical analysis, such as linear regression, ANOVA, time-series analysis, classification models, neural networks, decision trees, as well as analysis of unstructured data (e.g., social media listening, digital footprints, speech analytics)
Work with commercially available Natural Language Processing (NLP) and Computer Vision (CV) /3rd party packages
Develop UI/UX solutions allowing users/operators to see the data in various states inside the platform.
Create predictive models, train and leverage machine learning APIs, build machine learning pipelines, build Chatbots for the enterprise, embed intelligence in a variety of industry or domain-specific use-cases, and more",4.1,"Fractal Analytics
4.1","New York, NY",1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
20,Data Scientist - Hybrid,$75T - $1L (Glassdoor Est.),"Company Description

At Spear, our mission is to help dentists and their teams pursue and achieve “Great Dentistry.” Spear drives dental practice growth by advancing our clients clinical skills, improving their practice management capabilities and enhancing the patient experience by leveraging both our deep dental expertise and our technology forward solutions. We offer holistic solutions that include a full learning management system, a practice consulting service supported by a robust analytics platform and industry experts, and patient engagement tools that complement the normal workflows within a dental practice. In addition, we deliver live, collaborative education led by the brightest clinical and business minds in dentistry through virtual seminars and events, as well as through hands on learning opportunities at our state-of-the-art campus in scenic North Scottsdale. Discover how you can join our diverse and talented team and make an impact at one of the most dynamic companies in Arizona.",3.9,"Spear Education
3.9","Scottsdale, AZ",201 to 500 Employees,2008,Company - Private,Education Support & Training Services,Education,Unknown / Non-Applicable
21,Data Scientist,Easy Apply,"TITLE: Data Scientist
LOCATION: Alexandria, Virginia (remote opportunity available)
FLSA: Exempt
DIVISION: Technology Division
DEPARTMENT: Operations

TRAVEL REQUIREMENT:
Less than 10% to fulfill job requirements.

HOURS and SCHEDULE:
Generally, Monday – Friday, 9:00am to 5:30pm (minimum 37.5 hours within five (5) days per week); unless otherwise required or approved by management.

REPORTS TO:
This position reports to the Data Science Manager.


Mentorship of junior staff.


Daily contact requiring courtesy, discretion, and sound judgment.


None


The Data Scientist (DS) is responsible for building and maintaining statistical and machine learning models across the organization. The DS utilizes a range of technical tools to automate data processes, support complex analysis, and develops new methods of leveraging large-scale data.




All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
The National Center for Missing and Exploited Children is an EO employer - M/F/Veteran/Disability/Sexual Orientation/Gender Identity.",3.7,"National Center for Missing & Exploited Children
3.7",Remote,201 to 500 Employees,1984,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,$25 to $50 million (USD)
22,Data Scientist,$89T - $1L (Glassdoor Est.),"Data Scientist
Location: Raleigh, NC, Charlottesville, VA, or Atlanta, GA
Elder Research Inc. is a Data Science consulting firm specialized in providing analytic solutions to clients in Commercial and Government industries. We are seeking to hire a Data Scientist who will consult and communicate with clients to understand their business needs, perform exploratory data analyses, and develop solutions using data-driven models. We work in a fast-paced environment, solving new and challenging problems on a daily basis. We are trusted advisors to our clients, building lasting relationships and partnering as preferred analytics providers. We use a variety of programming languages and tools to create analytic solutions, often fitting within our clients’ environment and needs.
As a member of Elder Research, you will join a functional team of accomplished Data Scientists and Software Engineers that deliver custom analytic training, strategy, and technical solutions. Some of your responsibilities will include: consulting with clients to understand their data context and goals, creating and delivering training curriculum on Data Science best practices, exploring data to determine the feasibility and viability of modeling, and developing models using Machine Learning and other algorithmic methods.",4.4,"Elder Research Inc
4.4","Atlanta, GA",51 to 200 Employees,1995,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
23,Data Scientist,$88T - $1L (Glassdoor Est.),"We provide technology that financial institutions use to manage risk and drive growth. Our solutions automate key processes – from anti-money laundering to fraud detection to CECL readiness to digital lending – empowering our customers by addressing their Enterprise Risk Management needs.
Abrigo is seeking a talented and driven Data Scientist with a deep understanding of data analytics, machine learning, and cloud technologies, specifically AWS. In this role, you will play a pivotal role in developing and executing data-driven strategies to address complex business challenges, drive growth, and improve decision-making processes.
If you are a highly motivated data scientist with a passion for AWS and a track record of delivering impactful data-driven solutions, we encourage you to apply. Join our team and contribute to shaping the future of Abrigo through advanced data analytics and innovative technologies. This person will report to the Senior Director, Product Management. This position will be remote or office based in Raleigh, NC or Austin, TX.",4.2,"Abrigo
4.2","Raleigh, NC",201 to 500 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
24,Data Scientist,$94T - $1L (Glassdoor Est.),"Company Overview:

We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms, ground, soldier, and maritime systems in 50+ locations world-wide. Much of our work contributes to innovative research in the fields of sensor science, signal processing, data fusion, artificial intelligence (AI), machine learning (ML), and augmented reality (AR).

QinetiQ Inc.’s dedicated experts in defense, aerospace, security, and related fields all work together to explore new ways of protecting the American Warfighter, Security Forces, and Allies. Being a part of QinetiQ Inc. means being central to the safety and security of the world around us. Partnering with our customers, we help save lives; reduce risks to society; and maintain the global infrastructure on which we all depend.

Why Join QinetiQ Inc.?

If you have the courage to take on a wide variety of complex challenges, then you will experience a unique working environment where innovative teams blend different perspectives, disciplines, and technologies to discover new ways of solving complex problems. In our diverse and inclusive environment, you can be authentic, feel valued, be respected, and realize your full potential. QinetiQ Inc. will support you with workplace flexibility, a commitment to the health and well-being of you and your family and provide opportunities to work with a purpose. We are committed to supporting your success in both your professional and personal lives.
Position Overview:

Responsibilities:
Required Qualifications:
Company EEO Statement:",3.9,"Avantus Federal
3.9","Tampa, FL",1001 to 5000 Employees,2004,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
25,Data Engineer,$83T - $1L (Glassdoor Est.),"Summary:

You have experience with client projects and in handling vast amounts of data – working on database design and development, data integration and ingestion, designing ETL architectures using a variety of ETL tools and techniques. You are someone with a drive to implement the best possible solutions for clients and work closely with a highly skilled Analytics team. Play a key role on projects from a data engineering perspective, working with our Architects and clients to model the data landscape, obtain data extracts and define secure data exchange approaches.
Plan and execute secure, good practice data integration strategies and approaches
Acquire, ingest, and process data from multiple sources and systems into Big Data platforms
Create and manage data environments in the Cloud",4.5,"Cervello Inc
4.5","Boston, MA",51 to 200 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
26,Data Scientist,$1L - $2L (Glassdoor Est.),"about dscout
We are dscout. At our core, we are People Nerds. We empower our customers to meet the people who matter to them in the moments that matter most. Many of the world’s most influential tech companies use dscout to deliver better products and services, alongside customer-obsessed companies and agencies like Lyft, Nike, IDEO, and REI.
Product and UX experience professionals use our platform to build, field, and analyze user research via our web-based platform while scouts (research participants) share in-context moments from our native mobile apps on iOS and Android. For example, in the past 30 days we’ve conducted close to 500 research missions, had over 40,000 entries submitted by our scouts, and conducted over 500 real-time video user interviews.
our platform",3.6,"dscout
3.6","Chicago, IL",51 to 200 Employees,2014,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
27,Data Scientist,$81T - $2L (Employer Est.),"Overview
Working at Covenant Eyes is about something bigger than creating and selling software; it’s about creating a movement and changing culture. At the end of the day, you are contributing to saving a marriage, protecting a child’s innocence, strengthening a commitment to purity, and working to end sexual exploitation.
Covenant Eyes is a 100% Employee Owned company and constantly growing. We've made Inc.com's Fortune 5000 Fastest Growing Companiesfor 10 years running & 11 out of the last 12. This growth presents a number of opportunities for working in various technologies as well as career advancement. We offer highly competitive compensation and benefits packagesthat start day-one of employment.
Health, Vision, and Dental Insurance options
Company paid life insurance",4.3,"Covenant Eyes
4.3",Remote,201 to 500 Employees,2000,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
28,MLOps Engineer / Data Scientist,$70.00 - $75.00 Per hour (Employer Est.),"Principle Duties and Responsibilities:
Increase our deployment velocity, including the process for deploying models and data pipelines into production.
Improve the creation of dependable releases.
Build and maintain infrastructure as code (IaC) in the cloud, that can scale when needed.
Build and maintain data pipelines for analytics, model evaluation and training (includes versioning, compliance and validation)
Working on DevOps/Agile operations process and tools area (Code review, unit test automation, Build & Release automation, Environment, Service, Incident and Change Management)
Establish Automated Code Quality, Assembly Testing and Performance Testing Solutions on top of Continuous Integration Pipelines",4.7,"Kani Solutions
4.7",Remote,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
29,"Junior Software Engineer, Data Science",$1L - $2L (Glassdoor Est.),"LockerDome is an ad platform with a brain, designed specifically for performance-based advertising. The brain behind the platform is Neo, an in-house AI, which uses machine learning to process billions of data points and make intelligent decisions at lightning speed. Learn more at lockerdome.com.
As a Junior Data Scientist on the Engineering & Product team, you will help design data models that enable decision making at scale.
Your skills should include:
Strong data cleaning skills
In-depth knowledge of statistics and calculus
Experience with R, MATLAB, or other statistics heavy language
Experience with TensorFlow or similar framework is a plus",3.8,"LockerDome, Inc.
3.8","Saint Louis, MO",51 to 200 Employees,2008,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD)
30,Data Scientist,$92T - $1L (Glassdoor Est.),"We are a leading financial services provider committed to making decisions easier and lives better for our customers and colleagues around the world. From our environmental initiatives to our community investments, we lead with values throughout our business. To help us stand out, we help you step up, because when colleagues are healthy, respected and meaningfully challenged, we all thrive. Discover how you can grow your career, make impact and drive real change with our Winning Team today.
Working Arrangement
Hybrid
Job Description










Boston, Massachusetts
$83,440.00 USD - $154,960.00 USD
Company: John Hancock Life Insurance Company (U.S.A.)",3.9,"John Hancock
3.9","Boston, MA",1001 to 5000 Employees,1862,Subsidiary or Business Segment,Insurance Carriers,Insurance,$25 to $50 million (USD)
31,Modeler/Data Scientist,$1L (Employer Est.),"METABIOTA is the pioneer in comprehensive risk analytics that help protect global health. Built on a strong foundation of scientific expertise, including a worldwide network of on-the-ground experts, Metabiota delivers actionable, data-driven analytics to help countries and corporations mitigate complex health issues. With a strategic global presence and sustained partnerships, Metabiota’s agile approach helps identify, analyze and transfer the risk associated with biological threats. For more information, visit http://www.metabiota.com.
ROLE
Metabiota is looking for an exceptional Modeler/Data Scientist. You will be a core member of the team responsible for evaluating and interpreting global infectious disease data with an eye towards developing models, creating statistical distributions of parameters, and performing model validation. Your core mission will be to build, manage, and scale infectious disease models within cloud computing environments. Your work will have direct public health and business implications.",3.8,"Metabiota
3.8","San Francisco, CA",51 to 200 Employees,2008,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
32,Data Scientist,$1L (Employer Est.),"commercial success, making a real impact on patient healthcare.
Claritas Rx is a digital health venture that brings clarity to the challenges of
Claritas Rx is a digital health venture that brings clarity to the challenges of
Who We Are:
Claritas Rx is a digital health venture that brings clarity to the challenges of specialty biopharmaceutical products in the marketplace. In today’s highly complex specialty networks, our mission is to illuminate the patient experience beyond the clinical trial. Claritas Rx leverages a proprietary technology platform and deep manufacturer expertise to automate and integrate channel, commercial, and clinical data and help biopharmaceutical companies generate actionable business insights. Our work uncovers the real-world variables impacting patient access, duration of therapy, and other metrics key to commercial success, making a real impact on patient healthcare.
The Position:",4.9,"Claritas Rx Inc.
4.9","South San Francisco, CA",51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
33,Data Scientist,$88T - $1L (Glassdoor Est.),"We provide technology that financial institutions use to manage risk and drive growth. Our solutions automate key processes – from anti-money laundering to fraud detection to CECL readiness to digital lending – empowering our customers by addressing their Enterprise Risk Management needs.
Abrigo is seeking a talented and driven Data Scientist with a deep understanding of data analytics, machine learning, and cloud technologies, specifically AWS. In this role, you will play a pivotal role in developing and executing data-driven strategies to address complex business challenges, drive growth, and improve decision-making processes.
If you are a highly motivated data scientist with a passion for AWS and a track record of delivering impactful data-driven solutions, we encourage you to apply. Join our team and contribute to shaping the future of Abrigo through advanced data analytics and innovative technologies. This person will report to the Senior Director, Product Management. This position will be remote or office based in Raleigh, NC or Austin, TX.",4.2,"Abrigo
4.2","Raleigh, NC",201 to 500 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
